gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,dt,ni,revt,costat,gsector
001045,2014-12-31,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,17904.0000,2882.0000,42650.0000,A,20
001045,2015-12-31,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,20561.0000,7610.0000,40990.0000,A,20
001045,2016-12-31,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,24344.0000,2676.0000,40180.0000,A,20
001045,2017-12-31,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,25065.0000,1919.0000,42207.0000,A,20
001045,2018-12-31,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,34029.0000,1412.0000,44541.0000,A,20
001045,2019-12-31,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,33444.0000,1686.0000,45768.0000,A,20
001045,2020-12-31,2020,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,41021.0000,-8885.0000,17337.0000,A,20
001045,2021-12-31,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,46177.0000,-1993.0000,29882.0000,A,20
001045,2022-12-31,2022,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,43687.0000,127.0000,48971.0000,A,20
001045,2023-12-31,2023,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,40663.0000,822.0000,52788.0000,A,20
001075,2014-12-31,2014,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,397.5950,3491.6320,A,55
001075,2015-12-31,2015,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,437.2570,3495.4430,A,55
001075,2016-12-31,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,442.0340,3498.6820,A,55
001075,2017-12-31,2017,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,488.4560,3565.2960,A,55
001075,2018-12-31,2018,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,511.0470,3691.2470,A,55
001075,2019-12-31,2019,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,538.3200,3471.2090,A,55
001075,2020-12-31,2020,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,550.5590,3586.9820,A,55
001075,2021-12-31,2021,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,618.7200,3803.8350,A,55
001075,2022-12-31,2022,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,483.6020,4324.3850,A,55
001075,2023-12-31,2023,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,501.5570,4695.9910,A,55
001078,2014-12-31,2014,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,3463.0000,2284.0000,20247.0000,A,35
001078,2015-12-31,2015,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,5874.0000,4423.0000,20405.0000,A,35
001078,2016-12-31,2016,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,20684.0000,1400.0000,20853.0000,A,35
001078,2017-12-31,2017,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,27718.0000,477.0000,27390.0000,A,35
001078,2018-12-31,2018,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,19366.0000,2368.0000,30578.0000,A,35
001078,2019-12-31,2019,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,18898.0000,3687.0000,31904.0000,A,35
001078,2020-12-31,2020,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,19677.0000,4495.0000,34608.0000,A,35
001078,2021-12-31,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,19251.0000,7071.0000,43075.0000,A,35
001078,2022-12-31,2022,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,17946.0000,6933.0000,43653.0000,A,35
001078,2023-12-31,2023,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,15873.0000,5723.0000,40109.0000,A,35
001161,2014-12-31,2014,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2212.0000,-403.0000,5506.0000,A,45
001161,2015-12-31,2015,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2262.0000,-660.0000,3991.0000,A,45
001161,2016-12-31,2016,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1435.0000,-497.0000,4272.0000,A,45
001161,2017-12-31,2017,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1325.0000,43.0000,5329.0000,A,45
001161,2018-12-31,2018,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,1114.0000,337.0000,6475.0000,A,45
001161,2019-12-31,2019,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,728.0000,341.0000,6731.0000,A,45
001161,2020-12-31,2020,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,572.0000,2490.0000,9763.0000,A,45
001161,2021-12-31,2021,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,732.0000,3162.0000,16434.0000,A,45
001161,2022-12-31,2022,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2956.0000,1320.0000,23601.0000,A,45
001161,2023-12-31,2023,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3109.0000,854.0000,22680.0000,A,45
001209,2014-09-30,2014,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,4889.8000,991.7000,10439.0000,A,15
001209,2015-09-30,2015,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,4384.7000,1277.9000,9894.9000,A,15
001209,2016-09-30,2016,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,5289.4000,631.1000,9524.4000,A,15
001209,2017-09-30,2017,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3818.8000,3000.4000,8187.6000,A,15
001209,2018-09-30,2018,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3758.3000,1497.8000,8930.2000,A,15
001209,2019-09-30,2019,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,3267.8000,1760.0000,8918.9000,A,15
001209,2020-09-30,2020,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8306.6000,1886.7000,8856.3000,A,15
001209,2021-09-30,2021,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8216.8000,2099.1000,10323.0000,A,15
001209,2022-09-30,2022,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,8316.2000,2256.1000,12698.6000,A,15
001209,2023-09-30,2023,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,10772.1000,2300.2000,12600.0000,A,15
001300,2014-12-31,2014,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,6985.0000,4239.0000,40306.0000,A,20
001300,2015-12-31,2015,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,6131.0000,4768.0000,38581.0000,A,20
001300,2016-12-31,2016,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12409.0000,4809.0000,39302.0000,A,20
001300,2017-12-31,2017,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,13924.0000,1655.0000,40534.0000,A,20
001300,2018-12-31,2018,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12628.0000,6765.0000,41802.0000,A,20
001300,2019-12-31,2019,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,13191.0000,6143.0000,36709.0000,A,20
001300,2020-12-31,2020,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,19615.0000,4779.0000,32637.0000,A,20
001300,2021-12-31,2021,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,17089.0000,5542.0000,34392.0000,A,20
001300,2022-12-31,2022,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,17820.0000,4966.0000,35466.0000,A,20
001300,2023-12-31,2023,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,19451.0000,5658.0000,36662.0000,A,20
001327,2014-09-30,2014,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,0.0000,457.7000,2291.5000,A,45
001327,2015-09-30,2015,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,0.0000,798.3000,3258.4000,A,45
001327,2016-09-30,2016,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,0.0000,995.2000,3289.0000,A,45
001327,2017-09-30,2017,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,0.0000,1010.2000,3651.4000,A,45
001327,2018-09-30,2018,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,0.0000,918.4000,3868.0000,A,45
001327,2019-09-30,2019,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,0.0000,853.6000,3376.8000,A,45
001327,2020-09-30,2020,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,178.9000,814.8000,3355.7000,A,45
001327,2021-09-30,2021,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,2413.1000,1498.3000,5109.1000,A,45
001327,2022-09-30,2022,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,2414.5000,1275.2000,5485.5000,A,45
001327,2023-09-30,2023,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,1509.3000,982.8000,4772.4000,A,45
001380,2014-12-31,2014,INDL,C,D,STD,HES,HESS CORP,USD,5987.0000,2317.0000,10737.0000,A,10
001380,2015-12-31,2015,INDL,C,D,STD,HES,HESS CORP,USD,6630.0000,-3056.0000,6636.0000,A,10
001380,2016-12-31,2016,INDL,C,D,STD,HES,HESS CORP,USD,6806.0000,-6132.0000,4762.0000,A,10
001380,2017-12-31,2017,INDL,C,D,STD,HES,HESS CORP,USD,6977.0000,-4074.0000,5466.0000,A,10
001380,2018-12-31,2018,INDL,C,D,STD,HES,HESS CORP,USD,6672.0000,-282.0000,6323.0000,A,10
001380,2019-12-31,2019,INDL,C,D,STD,HES,HESS CORP,USD,7932.0000,-408.0000,6495.0000,A,10
001380,2020-12-31,2020,INDL,C,D,STD,HES,HESS CORP,USD,9075.0000,-3093.0000,4667.0000,A,10
001380,2021-12-31,2021,INDL,C,D,STD,HES,HESS CORP,USD,9141.0000,559.0000,7473.0000,A,10
001380,2022-12-31,2022,INDL,C,D,STD,HES,HESS CORP,USD,9150.0000,2096.0000,11324.0000,A,10
001380,2023-12-31,2023,INDL,C,D,STD,HES,HESS CORP,USD,9598.0000,1382.0000,10511.0000,A,10
001440,2014-12-31,2014,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,1634.0000,17020.0000,A,55
001440,2015-12-31,2015,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,2047.1000,16453.2000,A,55
001440,2016-12-31,2016,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,610.9000,16380.1000,A,55
001440,2017-12-31,2017,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,1912.6000,15424.9000,A,55
001440,2018-12-31,2018,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,1923.8000,16195.7000,A,55
001440,2019-12-31,2019,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,1921.1000,15561.4000,A,55
001440,2020-12-31,2020,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,2200.1000,14918.5000,A,55
001440,2021-12-31,2021,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,2488.1000,16792.0000,A,55
001440,2022-12-31,2022,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,2307.2000,19639.5000,A,55
001440,2023-12-31,2023,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,,2208.1000,18982.3000,A,55
001447,2014-12-31,2014,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,,,35280.0000,A,40
001447,2014-12-31,2014,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,57955.0000,5885.0000,35280.0000,A,40
001447,2015-12-31,2015,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,,,34441.0000,A,40
001447,2015-12-31,2015,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,48061.0000,5163.0000,34441.0000,A,40
001447,2016-12-31,2016,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,,,33823.0000,A,40
